ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
218.92.0.220,CN,100,2025-05-10T08:17:01+00:00
27.123.104.142,IN,100,2025-05-10T08:17:01+00:00
151.106.162.202,US,100,2025-05-10T08:17:01+00:00
159.89.174.160,IN,100,2025-05-10T08:17:01+00:00
188.121.99.48,IR,100,2025-05-10T08:17:01+00:00
68.154.0.216,US,100,2025-05-10T08:17:01+00:00
170.106.165.186,US,100,2025-05-10T08:17:01+00:00
102.210.80.6,CI,100,2025-05-10T08:17:01+00:00
52.178.162.139,IE,100,2025-05-10T08:17:00+00:00
101.36.121.22,HK,100,2025-05-10T08:17:00+00:00
218.92.0.134,CN,100,2025-05-10T08:17:00+00:00
110.25.105.223,TW,100,2025-05-10T08:17:00+00:00
162.84.155.190,US,100,2025-05-10T08:16:59+00:00
116.30.11.2,CN,100,2025-05-10T08:16:59+00:00
107.174.196.110,US,100,2025-05-10T08:16:59+00:00
134.209.148.44,IN,100,2025-05-10T08:16:58+00:00
143.198.102.11,US,100,2025-05-10T08:16:58+00:00
128.199.146.224,SG,100,2025-05-10T08:16:58+00:00
182.180.77.216,PK,100,2025-05-10T08:16:58+00:00
103.243.27.200,HK,100,2025-05-10T08:16:58+00:00
144.217.92.49,CA,100,2025-05-10T08:16:57+00:00
109.71.253.185,DE,100,2025-05-10T08:16:57+00:00
41.193.5.58,ZA,100,2025-05-10T08:16:57+00:00
211.75.12.169,TW,100,2025-05-10T08:16:57+00:00
5.182.83.231,ES,100,2025-05-10T08:16:57+00:00
135.237.125.196,US,100,2025-05-10T08:16:57+00:00
222.223.62.8,CN,100,2025-05-10T08:16:56+00:00
218.92.0.187,CN,100,2025-05-10T08:16:56+00:00
46.105.70.190,FR,100,2025-05-10T08:16:56+00:00
218.92.0.249,CN,100,2025-05-10T08:16:56+00:00
218.92.0.235,CN,100,2025-05-10T08:16:56+00:00
45.194.37.246,HK,100,2025-05-10T08:16:56+00:00
120.50.92.93,KR,100,2025-05-10T08:16:56+00:00
52.164.217.9,IE,100,2025-05-10T08:16:56+00:00
206.168.32.53,US,100,2025-05-10T08:16:55+00:00
128.203.200.211,US,100,2025-05-10T08:16:55+00:00
177.72.87.7,BR,100,2025-05-10T08:16:55+00:00
45.33.52.85,US,100,2025-05-10T08:16:55+00:00
85.221.190.207,PL,100,2025-05-10T08:16:55+00:00
199.45.155.108,HK,100,2025-05-10T08:16:55+00:00
109.205.213.108,US,100,2025-05-10T08:16:55+00:00
195.211.191.93,NL,100,2025-05-10T08:16:55+00:00
152.228.131.33,FR,100,2025-05-10T08:16:55+00:00
218.92.0.211,CN,100,2025-05-10T08:16:55+00:00
213.32.32.94,FR,100,2025-05-10T08:16:54+00:00
185.242.177.19,AT,100,2025-05-10T08:16:54+00:00
107.175.70.59,US,100,2025-05-10T08:16:54+00:00
213.32.32.89,FR,100,2025-05-10T08:16:54+00:00
209.141.56.104,US,100,2025-05-10T08:16:54+00:00
